,Neighborhood,NeighborhoodLatitude,NeighborhoodLongitude,Venue_Count,Venue,VenueLatitude,VenueLongitude,VenueCategory
662,Pamunuwa,6.858360389846578,79.9303484451628,1,Leaf Tea Shop,6.860898971557617,79.92874908447266,Asian Restaurant
663,Borupana,6.812230686240606,79.89247889268907,2,OVINMEE,6.815007956357777,79.89332332853924,Chinese Restaurant
664,Borupana,6.812230686240606,79.89247889268907,2,Omini view,6.81313359744819,79.88902590115606,Asian Restaurant
665,Pepiliyana East,6.85788284933372,79.89184677926781,4,Green Cabin,6.860300751706041,79.89470108520565,Bakery
666,Pepiliyana East,6.85788284933372,79.89184677926781,4,Delicia,6.856454,79.89083,Restaurant
667,Pepiliyana East,6.85788284933372,79.89184677926781,4,Chopsticks,6.856672388153928,79.89032452917017,Chinese Restaurant
668,Pepiliyana East,6.85788284933372,79.89184677926781,4,Perera & Sons,6.85817275982953,79.89073724283075,Bakery
669,Udahamulla East,6.871645027533299,79.91313280992392,2,veg,6.870995303154656,79.90987138127976,Vegetarian / Vegan Restaurant
670,Udahamulla East,6.871645027533299,79.91313280992392,2,Johns Food,6.870598545984419,79.90923182172791,Restaurant
671,Bokundara,6.817658624144727,79.91974405227838,7,Manioc Cart,6.8186297,79.91794,Asian Restaurant
672,Bokundara,6.817658624144727,79.91974405227838,7,Wade Cart,6.81839687174899,79.92213690310912,Food Truck
673,Bokundara,6.817658624144727,79.91974405227838,7,Perera & Sons,6.819048344906875,79.91725604313362,Snack Place
674,Bokundara,6.817658624144727,79.91974405227838,7,Sagala Bake House,6.819579,79.91757,Bakery
675,Bokundara,6.817658624144727,79.91974405227838,7,Julian,6.8200746,79.91738,Theme Restaurant
676,Bokundara,6.817658624144727,79.91974405227838,7,Julian,6.8204064,79.91707,Theme Restaurant
677,Bokundara,6.817658624144727,79.91974405227838,7,Green Cottage,6.8136997,79.919495,Food Court
678,Paligedara,6.817604779610943,79.93236209040184,2,The Roadhouse,6.820796436494836,79.93440617324535,Food Truck
679,Paligedara,6.817604779610943,79.93236209040184,2,Neluma Food Center,6.816115,79.936251,Asian Restaurant
680,Kaliyammahara,6.820297272142757,79.92588609169884,1,Wade Cart,6.81839687174899,79.92213690310912,Food Truck
681,Bellanvila,6.849030902109195,79.88808695559341,2,Sumanadisi Bakers,6.850089947789079,79.89101608448418,Bakery
682,Bellanvila,6.849030902109195,79.88808695559341,2,Dunhinda Kola Kanda Osupan,6.846030060803801,79.88512504756073,Breakfast Spot
683,Dehiwala West,6.857379016870954,79.86199761375835,14,Pizza Hut,6.856680439163273,79.86533386303036,Pizza Place
684,Dehiwala West,6.857379016870954,79.86199761375835,14,Lanis Restaurant,6.854968857202312,79.86091066429334,Chinese Restaurant
685,Dehiwala West,6.857379016870954,79.86199761375835,14,Chariot,6.858437308970831,79.8646527310357,Bakery
686,Dehiwala West,6.857379016870954,79.86199761375835,14,Holhuashi Cafe,6.855802341023857,79.86070947924114,Café
687,Dehiwala West,6.857379016870954,79.86199761375835,14,Perera & Sons,6.860186585597489,79.86420824095045,Bakery
688,Dehiwala West,6.857379016870954,79.86199761375835,14,Roanu Cafe',6.8582528614598015,79.86021080918513,Restaurant
689,Dehiwala West,6.857379016870954,79.86199761375835,14,Sunset Beach Wardy,6.85841942708078,79.86024522489348,Restaurant
690,Dehiwala West,6.857379016870954,79.86199761375835,14,Holhu Ashi Beach,6.855558,79.860927,Food
691,Dehiwala West,6.857379016870954,79.86199761375835,14,Sudda's Beach Restaurant,6.858904138781826,79.86020693918368,Indian Restaurant
692,Dehiwala West,6.857379016870954,79.86199761375835,14,88 Chineese Restaurant,6.8586821710095025,79.86459874860381,Restaurant
693,Dehiwala West,6.857379016870954,79.86199761375835,14,Kebabish,6.85756439465448,79.86492142584792,Restaurant
694,Dehiwala West,6.857379016870954,79.86199761375835,14,Charriot Dehiwela,6.857356167576205,79.8650526840499,Asian Restaurant
695,Dehiwala West,6.857379016870954,79.86199761375835,14,Waves Seafood Restaurant,6.854100570651367,79.86118595425458,Seafood Restaurant
696,Dehiwala West,6.857379016870954,79.86199761375835,14,Star Hotel,6.859938059783859,79.86437546569843,Asian Restaurant
697,Divulpitiya West,6.849535502639639,79.89340691821795,4,B-leaf,6.848422024359543,79.89701531168728,Asian Restaurant
698,Divulpitiya West,6.849535502639639,79.89340691821795,4,Pizza Napolitana,6.850423,79.8956,Pizza Place
699,Divulpitiya West,6.849535502639639,79.89340691821795,4,Dakuna Perata,6.850261837798113,79.89579999468008,Asian Restaurant
700,Divulpitiya West,6.849535502639639,79.89340691821795,4,Makrin Family Restaurant,6.847412091599709,79.89693818522743,Fast Food Restaurant
701,Nugegoda,6.8739369399614905,79.89319478945048,11,Milano,6.873055512229947,79.89173232075586,Restaurant
702,Nugegoda,6.8739369399614905,79.89319478945048,11,Amro Vegetarian Cafe,6.872165842513926,79.89284959541871,Vegetarian / Vegan Restaurant
703,Nugegoda,6.8739369399614905,79.89319478945048,11,Gamekade Senkada,6.873307408996606,79.89119104350141,Asian Restaurant
704,Nugegoda,6.8739369399614905,79.89319478945048,11,Highland Milk Bar,6.872366966050607,79.892760515213,Snack Place
705,Nugegoda,6.8739369399614905,79.89319478945048,11,Royal Food Kingdom,6.873051600446125,79.8919548770156,Asian Restaurant
706,Nugegoda,6.8739369399614905,79.89319478945048,11,Devon Bakeway,6.872676081068401,79.8922583640147,Bakery
707,Nugegoda,6.8739369399614905,79.89319478945048,11,Muluthangeya,6.873418761508168,79.89160110233357,Fast Food Restaurant
708,Nugegoda,6.8739369399614905,79.89319478945048,11,Upper Crust,6.8756693320099265,79.89205489854466,Bakery
709,Nugegoda,6.8739369399614905,79.89319478945048,11,Sen-Saal,6.872518047434272,79.8904307232753,Restaurant
